PARASITE DRAG BUILD UP DATA 

Mach, Altitude (ft), Vinf (ft/s), S_ref (ft^2)
0.246067, 25000.000000, 250.000000, 212.896987 

Temp (F), Pressure (lbf/ft^2), Density (slug/ft^3) 
-30.154000, 785.311310, 0.001065 

Lam Cf Eqn, Turb Cf Eqn 
Laminar Blasius, Compressible Schlichting 

Component Name,S_wet (ft^2),L_ref (ft),t/c or d/l,FF,FF Eqn Type,Re,% Lam,Cf,Q (Interference Factor),f (ft^2),Cd,% Total 
FuselageGeom,333.040657, 27.179534, 4.673858,1.217009, Hoerner Streamlined Body,22504358.017271, 0.000000,0.002646, 1.000000,1.072595, 0.005038, 5.263713 
PropGeom,9.475052, 0.726551, 0.499835,5.744725, Hoerner,601576.293071, 0.000000,0.004925, 1.000000,0.268056, 0.001259, 1.315474 
[B] Cone,1.363234, 0.700950, 0.820033,15.714125, Hoerner Streamlined Body,580378.955179, 0.000000,0.004959, 1.000000,0.106233, 0.000499, 0.521335 
WingGeom,414.380186, 5.345112, 0.149756,1.329689, Hoerner,4425694.329444, 0.000000,0.003434, 1.000000,1.892160, 0.008888, 9.285694 
WingGeom,131.118848, 4.594739, 0.119856,1.252094, Hoerner,3804394.175527, 0.000000,0.003523, 1.000000,0.578418, 0.002717, 2.838562 
WingGeom,35.351274, 3.699462, 0.099918,1.205817, Hoerner,3063114.166992, 0.000000,0.003657, 1.000000,0.155872, 0.000732, 0.764937 
BORGeom,18.649175, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.445602, 0.025579, 26.724057 
BORGeom,18.361283, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.361537, 0.025184, 26.311510 
BORGeom,18.206384, 1.000000, 1.000150,63.036334, Hoerner,827989.093628, 0.000000,0.004632, 1.000000,5.316306, 0.024971, 26.089541 
[B] Box,12.137339, 5.375642, 6.491772,1.116274, Hoerner Streamlined Body,4450972.671252, 0.000000,0.003431, 1.000000,0.046482, 0.000218, 0.228109 
[B] Box,12.046608, 4.485375, 5.418757,1.162911, Hoerner Streamlined Body,3713841.580832, 0.000000,0.003538, 1.000000,0.049560, 0.000233, 0.243215 
[B] Box,2.287296, 2.250850, 3.281586,1.450411, Hoerner Streamlined Body,1863679.251393, 0.000000,0.003990, 1.000000,0.013238, 0.000062, 0.064963 
[B] Box,11.420131, 10.250317, 29.839320,1.009466, Hoerner Streamlined Body,8487150.406233, 0.000000,0.003084, 1.000000,0.035554, 0.000167, 0.174477 
[B] Box,11.415972, 10.250000, 29.853884,1.009459, Hoerner Streamlined Body,8486888.209687, 0.000000,0.003084, 1.000000,0.035541, 0.000167, 0.174413 

Excrescences, Type, Input

 , , , , , , , , , Geometry Sub-Total:, 20.377154, 0.095714, 100.000000 
 , , , , , , , , , Excrescence Sub-Total:, 0.000000, 0.000000, 0.000000 
 , , , , , , , , , Totals:, 20.377154, 0.095714, 100.000000 
