WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

8.097300324758341e+05             Total Mass
1.016522547644656e+02 -4.430811818774554e-08 -3.367774802779590e+00       Center of Gravity
1.012160864194527e+09 8.637142515025806e+08 1.839615569215360e+09       Ixx, Iyy, Izz
-1.344245317677947e+04 4.873639585950907e+06 1.335719797631728e+04       Ixy, Ixz, Iyz
8.839851031977209e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Fuse	4.853234316720541e+04	1.005772510107850e+02	-3.190545095647126e-08	1.004692172803043e-01	3.276564410553808e+06	1.793566945003142e+08	1.787083943270268e+08	-9.529684426243726e+02	2.165869707971595e+06	8.902813586926247e+02	4.909993845563450e+04
Main Wing	8.143985622067744e+04	1.035249928043232e+02	-3.786693920345025e-09	-4.959249302848010e+00	1.306406950270482e+08	2.228290568124658e+07	1.524444099956806e+08	-1.338224404649141e+03	1.211355744730043e+06	1.399913210632022e+03	9.599002406927973e+03
Horz Tail	7.629021502312326e+03	2.114351875272293e+02	8.351734306430743e-15	5.966685619383640e+00	2.896899409506473e+06	3.154566621274664e+05	3.206312001725200e+06	-1.325616147926185e+02	-7.407429697293588e+03	1.303023007633555e+02	1.712847216506020e+03
Vert Tail	7.371899398303056e+03	2.052610953287524e+02	-3.505137231070409e-09	2.182018873333150e+01	5.146510904326881e+05	1.254691527652891e+06	7.572524216323826e+05	-1.067796407900801e+02	4.287757354330268e+05	1.314933105520302e+02	2.209404602981351e+03
Main Gear Placeholder	2.752000273346519e+04	1.112433626379934e+02	-8.995387519994197e-16	-8.000000000000076e+00	1.363887374870363e+05	7.608939085061621e+04	1.703610618723145e+05	-3.836000178404162e+02	-6.416238904002564e+01	3.683490350202698e+02	9.836255222727819e+01
Nose Gear Placeholder	6.880005601494204e+03	2.751809496834515e+01	7.505617918414246e-16	-7.999999999999840e+00	3.414526103511416e+04	2.611198880544204e+04	4.969952278239767e+04	-1.269912625982359e+02	-2.006278193659264e+01	1.048433067314709e+02	1.229531902840986e+02
all other CG placeholder	1.400000009241424e+05	1.053884488149403e+02	-1.092560955124249e-15	-4.999999999999962e+00	6.943832468533206e+05	3.872424205295761e+05	8.670477559840471e+05	-2.303001892129723e+03	-3.847089105913113e+02	2.055786791981840e+03	9.836255222727816e+01
Inboard Main Wing Fuel Cells	8.750023784234405e+04	9.507814824818541e+01	2.526327729969249e+01	-4.857304607626896e+00	9.551008062869154e+06	7.169720241110797e+06	1.665354416880394e+07	6.829477291833499e+06	1.189831684960593e+05	1.669317548399369e+05	1.255435848009937e+03
Inboard Main Wing Fuel Cells	8.750023784234322e+04	9.507814824818549e+01	-2.526327729969115e+01	-4.857304607626991e+00	9.550870334088866e+06	7.169718676558928e+06	1.665340800457527e+07	-6.832515173845593e+06	1.189902150380294e+05	-1.639664735938204e+05	1.255435848009943e+03
Outboard Main Wing Fuel Tank	8.750000585955092e+04	1.173681811493694e+02	5.764554935165271e+01	-3.434659095471634e+00	4.337476935655044e+06	2.875509040276531e+06	7.189897443594826e+06	2.892653756926216e+06	5.030334145151177e+04	7.651293938106936e+04	2.970636393774644e+02
Outboard Main Wing Fuel Tank	8.750000591272887e+04	1.173681811467152e+02	-5.764554935246059e+01	-3.434659095753298e+00	4.337257240523124e+06	2.875510925198848e+06	7.189675865600578e+06	-2.894952034259873e+06	5.031815854601139e+04	-7.386774063037433e+04	2.970636395580024e+02
Crew Area Box	4.800002617216480e+04	2.576162082142392e+01	-3.852721594920157e-15	4.782599999998641e+00	8.391137887375691e+05	6.162020960436072e+05	9.414212172110236e+05	-1.008972747627797e+03	-1.405235072762302e+02	1.012834783455843e+03	8.993147632206689e+02
Passenger Box	4.799935344252764e+04	1.048029574326709e+02	-2.761064709124347e-15	2.282600000000795e+00	1.006488468272658e+06	7.286865066945264e+07	7.322536504339892e+07	-1.003746953345061e+03	-1.633390737857730e+02	8.329156138998381e+02	1.575557309774456e+04
Inside Engine Pair	1.108929647698442e+04	8.642817212995467e+01	-3.899999992520851e+01	-1.099999980094036e+01	1.133200700957788e+05	6.736441643953369e+05	6.747347187863470e+05	-1.905031071291145e+02	-3.140336265178111e+01	2.103293077179490e+02	1.399209689982521e+03
Inside Engine Pair	1.108929566142028e+04	8.642817170505393e+01	3.900000001071074e+01	-1.100000001907675e+01	1.133169547663334e+05	6.736430576871805e+05	6.747326543027883e+05	-1.959671372100603e+02	-3.266862505944789e+01	2.045439157801553e+02	1.399209587077433e+03
Outside Engine Pair	1.108922185883950e+04	1.129564516181940e+02	-6.799999999997874e+01	-9.163299999997180e+00	1.119532381361692e+05	6.460374301084286e+05	6.471062927223715e+05	-1.800863215760465e+02	-3.064458420983889e+01	2.057393576091420e+02	1.326731734783002e+03
Outside Engine Pair	1.108922185883971e+04	1.129564516181924e+02	6.799999999997645e+01	-9.163299999997124e+00	1.119485376420389e+05	6.460355346068792e+05	6.471034877297913e+05	-1.831388375564125e+02	-3.061236969415846e+01	1.992484055054729e+02	1.326731734782992e+03
Inside Engine Pylons	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.318781433761566e+01
Inside Engine Pylons	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.318774990332993e+01
Outside Engine Pylon	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.974709783168989e+01
Outside Engine Pylon	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	4.974709783169008e+01
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	8.097300324758341e+05	1.016522547644656e+02	-4.430811818774554e-08	-3.367774802779590e+00	1.012160864194527e+09	8.637142515025806e+08	1.839615569215360e+09	-1.344245317677947e+04	4.873639585950907e+06	1.335719797631728e+04	8.839851031977209e+04

...Filling Mass Properties (Volume Only -- No Shell or Point Mass)...
200 Num Slice

Slice	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
5.854913823052277e-01	2.083355733753354e+00	5.854913823052276e-01	-1.013846879195883e-16	-9.242507302702527e-17	7.635782822298540e-01	9.356980408679116e-01	1.018171368480363e+00	8.353145597768362e-04	-9.986485544943009e-04	2.404197636621531e-02	2.107720988379016e+00
1.756474146915683e+00	2.176693091352533e+01	1.644397085318464e+00	1.547277314517654e-16	3.793499312536876e-17	5.687225665320791e+01	3.847172075151312e+01	3.600327177242168e+01	-3.389666032139717e-01	-5.794050521900003e-02	4.086536086226086e-01	2.202149944713419e+01
2.927456911526138e+00	6.919014560173429e+01	2.523811647419611e+00	-1.424995247120514e-15	-5.819171433628618e-17	3.742987602568791e+02	2.496588194347600e+02	2.184582153120987e+02	-1.250382654303369e+00	-2.005496672015138e-01	1.250391371340393e+00	6.999933794841878e+01
4.098439676136594e+00	1.406865831843630e+02	3.324032194559406e+00	1.348860588725500e-15	1.301351639300750e-16	1.092187745886699e+03	7.539963610685156e+02	6.472240210188296e+02	-2.706897093658984e+00	-4.268176418048467e-01	2.638291293935373e+00	1.423319404155683e+02
5.269422440747049e+00	2.329616808390232e+02	4.094592718920603e+00	-7.267602710874321e-16	-1.769262208306694e-17	2.283921325962251e+03	1.651354154070320e+03	1.416109564115297e+03	-4.548601866007466e+00	-7.229567697815061e-01	4.339160272308515e+00	2.356862134666989e+02
6.440405205357504e+00	3.474886778993366e+02	4.867736930013479e+00	-1.907998455855132e-15	-2.514794494880706e-16	4.118174482174705e+03	3.131823143232359e+03	2.680349383656199e+03	-6.977440472368181e+00	-1.100916733321330e+00	6.557702877516972e+00	3.515526262588882e+02
7.611387969967960e+00	4.844428353151543e+02	5.643379356793337e+00	-2.372902839523828e-15	1.229984345471118e-02	6.742221195440470e+03	5.397356646932509e+03	4.596084960634545e+03	-9.844097932429959e+00	1.016625692462919e+01	9.139740523615400e+00	4.901084894532293e+02
8.782370734578414e+00	6.409191683047541e+02	6.409744109747970e+00	-2.819499754005586e-15	5.388036765713555e-02	1.018179040377237e+04	8.601974827270191e+03	7.251199511660018e+03	-1.312513767419785e+01	7.287844361526021e+01	1.220041089223726e+01	6.484148439002283e+02
9.953353499188871e+00	8.190444359096219e+02	7.180406045910441e+00	-2.821763857708813e-15	1.173987950600576e-01	1.465954386174991e+04	1.305179312282513e+04	1.088150782080610e+04	-1.698806539864141e+01	2.165256073710440e+02	1.557911195798374e+01	8.286233215062070e+02
1.112433626379933e+01	1.020856189659617e+03	7.960076563659876e+00	-2.840203987584325e-15	2.006704950821091e-01	2.043842608047875e+04	1.910656342460678e+04	1.575798934724595e+04	-2.129441419548318e+01	4.848316511427528e+02	1.939696619083417e+01	1.032795303366487e+03
1.229531902840978e+01	1.248059129717280e+03	8.749285832997183e+00	3.787039392823969e-16	2.972335329204082e-01	2.780167702883904e+04	2.716341353678921e+04	2.217974123194139e+04	-2.623273143375425e+01	9.114201027231742e+02	2.381124716603910e+01	1.262655426446938e+03
1.346630179302024e+01	1.500739735111840e+03	9.543493129937655e+00	2.937895803894441e-15	3.946357067801843e-01	3.693785307208865e+04	3.755592211549194e+04	3.041895273395958e+04	-3.182801955741402e+01	1.483961136535681e+03	2.862600587949243e+01	1.518291181166027e+03
1.463728455763069e+01	1.780901355833154e+03	1.034482042261682e+01	5.014194703681714e-15	4.914703654887256e-01	4.819267746728753e+04	5.076802547136052e+04	4.087316069555868e+04	-3.791862463849721e+01	2.223234261407055e+03	3.397432103161130e+01	1.801729347085337e+03
1.580826732224115e+01	2.091632456046552e+03	1.115646534673813e+01	8.557177208291831e-15	5.805363093506470e-01	6.198955172153276e+04	6.728270049636222e+04	5.412727399059114e+04	-4.479825567335555e+01	3.088750457946565e+03	3.994419569706697e+01	2.116094508565404e+03
1.697925008685160e+01	2.434267979540463e+03	1.197605173344233e+01	4.361353223681434e-15	6.637625797187797e-01	7.871647161361475e+04	8.763697788578035e+04	7.065936668022138e+04	-5.238988186870955e+01	4.101173780195468e+03	4.643157551836231e+01	2.462737221824541e+03
1.815023285146206e+01	2.810024058031997e+03	1.280166248868537e+01	-7.402727467574463e-16	7.421537984220665e-01	9.878651013503422e+04	1.124139503348609e+05	9.098433245529963e+04	-6.072067393463646e+01	5.278044085205549e+03	5.373744494453110e+01	2.842887841479223e+03
1.932121561607251e+01	3.216770515443832e+03	1.362603125411033e+01	-2.703800429781458e-15	8.063683549388009e-01	1.222756774507033e+05	1.420039715834514e+05	1.153209047505349e+05	-6.981700822565388e+01	6.453034780729354e+03	6.155961672267949e+01	3.254391278624389e+03
2.049219838068297e+01	3.651204314273030e+03	1.444299322376310e+01	-2.748516043473123e-15	8.498082170026102e-01	1.490897032266310e+05	1.767168258521100e+05	1.437585713412711e+05	-7.953212789751386e+01	7.410953327018744e+03	6.984675073885251e+01	3.693905866084554e+03
2.166318114529343e+01	9.999190351386309e+03	1.902672955645953e+01	-1.027606274263646e-14	3.173319281857532e+00	3.192033286594799e+05	3.868291586395680e+05	3.490630915500040e+05	-2.133321662270545e+02	6.864598067821433e+04	2.039748881258865e+02	4.158372703893663e+03
2.283416390990388e+01	1.635336914562558e+04	2.050612615135540e+01	-1.163649075667374e-14	3.690989045202089e+00	4.660234242825049e+05	5.087402095566780e+05	4.902474794195188e+05	-3.471085128490509e+02	8.833589872473068e+04	3.379814130269975e+02	4.629104724340052e+03
2.400514667451434e+01	2.271202029401743e+04	2.148574181653164e+01	-1.228160629463074e-14	3.918368350448992e+00	6.095349180436463e+05	6.267426326106798e+05	6.314981948490174e+05	-4.818082881421238e+02	1.013284251101230e+05	4.719949137738150e+02	5.104361403999515e+03
2.517612943912479e+01	3.042622577338363e+04	2.242139544084943e+01	-1.360415045176406e-14	3.510731792792420e+00	9.463434755707107e+05	9.548308887322842e+05	8.014716661243450e+05	-6.406850335757522e+02	6.713956614885376e+04	6.261422607342288e+02	5.583522803172799e+03
2.634711220373525e+01	3.814378393317995e+04	2.321567813418472e+01	-1.354340221567785e-14	3.267791357036434e+00	1.277547066681037e+06	1.293512114125656e+06	9.881491189236742e+05	-7.993916177859545e+02	3.809896344857860e+04	7.800508922183170e+02	6.066076093032563e+03
2.751809496834570e+01	4.586447265574145e+04	2.393993416958262e+01	-1.353956953488067e-14	3.106471284686903e+00	1.606149226304269e+06	1.653333103500987e+06	1.199057357557954e+06	-9.580306459024154e+02	1.160186483773867e+04	9.340550095829333e+02	6.551796558204112e+03
2.868907773295616e+01	5.358806982340321e+04	2.462442368181467e+01	-1.366179224647139e-14	2.991529944315295e+00	1.933415475336802e+06	2.041812560343193e+06	1.440443756702208e+06	-1.115725337125330e+03	-1.345763197894871e+04	1.087953244855923e+03	7.040459483312747e+03
2.986006049756661e+01	6.131235307750341e+04	2.528402227411354e+01	-1.363809143185513e-14	2.905526226183245e+00	2.259704525026195e+06	2.465229335736156e+06	1.717853255547130e+06	-1.273730679201021e+03	-3.761099476469627e+04	1.241532914258889e+03	7.529816518775541e+03
3.103104326217707e+01	6.179605314563634e+04	2.532900628687786e+01	-1.357599116124573e-14	2.890610892608521e+00	2.294428416270471e+06	2.502888700183484e+06	1.746895574008148e+06	-1.284637121940005e+03	-4.286832987991167e+04	1.250826177758668e+03	8.019173554238327e+03
3.220202602678752e+01	6.227975321376927e+04	2.538238607637481e+01	-1.351438176659188e-14	2.875927241000857e+00	2.329124980601307e+06	2.547342063411262e+06	1.782758644044634e+06	-1.295500305457729e+03	-4.910657296641535e+04	1.260138488577848e+03	8.508530589701113e+03
3.337300879139798e+01	6.276345328190220e+04	2.544396753102041e+01	-1.345677864409627e-14	2.861469914839346e+00	2.363795167227282e+06	2.599743462916462e+06	1.826596301045939e+06	-1.306404371756164e+03	-5.630303909772120e+04	1.269424637976802e+03	8.997887625163899e+03
3.454399155600844e+01	6.324715335003513e+04	2.551356247731839e+01	-1.338446449851442e-14	2.847233721464970e+00	2.398439640754854e+06	2.661221850196399e+06	1.879536900000590e+06	-1.317309651788322e+03	-6.443574673689070e+04	1.278719917711520e+03	9.487244660626686e+03
3.571497432061889e+01	6.373085341816806e+04	2.559098845451783e+01	-1.332214686728432e-14	2.833213625862265e+00	2.433058934427422e+06	2.732881940485784e+06	1.942684527125565e+06	-1.328208938130445e+03	-7.348337338460142e+04	1.288013625687388e+03	9.976601696089472e+03
3.688595708522934e+01	6.421455348630099e+04	2.567606849945499e+01	-1.326404610521722e-14	2.819404744722017e+00	2.467653576405796e+06	2.815805164182576e+06	2.017119996609124e+06	-1.339114658224340e+03	-8.342524750033580e+04	1.297306034891647e+03	1.046595873155226e+04
3.805693984983980e+01	6.498021803069229e+04	2.582195280869484e+01	-1.285932684842754e-14	2.803532042540113e+00	2.508210702078047e+06	2.955508678226520e+06	2.150376483031074e+06	-1.354997081437613e+03	-9.604709537720348e+04	1.310904516536175e+03	1.095531576701505e+04
3.922792261445026e+01	6.574588257508358e+04	2.597807628535099e+01	-1.244793112326634e-14	2.788029041541261e+00	2.548735856506252e+06	3.115200210024856e+06	2.303653008568717e+06	-1.370901340314026e+03	-1.095546579399945e+05	1.324483459127856e+03	1.144467280247785e+04
4.039890537906071e+01	6.651154711947488e+04	2.614408531710529e+01	-1.208554214040641e-14	2.772882973998644e+00	2.589230325143548e+06	3.296252970484109e+06	2.478321858049658e+06	-1.386821139739420e+03	-1.239173479815914e+05	1.338086693170125e+03	1.193402983794064e+04
4.156988814367116e+01	6.727721166386618e+04	2.631964238912080e+01	-1.171903165916616e-14	2.758081653410235e+00	2.629695066801504e+06	3.500001567732854e+06	2.675716461485836e+06	-1.402737345973749e+03	-1.391059645470188e+05	1.351696721184948e+03	1.242338687340344e+04
4.274087090828162e+01	6.804287620825748e+04	2.650442517834314e+01	-1.134196973084263e-14	2.743613441797115e+00	2.670130989124298e+06	3.727744142794465e+06	2.897133873523541e+06	-1.418654228947400e+03	-1.550926395505853e+05	1.365328619291096e+03	1.291274390886624e+04
4.391185367289208e+01	6.880854075264878e+04	2.669812570827040e+01	-1.101796085656364e-14	2.729467219185119e+00	2.710539120360833e+06	3.980744435144216e+06	3.143836929571756e+06	-1.434554877244814e+03	-1.718507223440473e+05	1.378964068922641e+03	1.340210094432903e+04
4.508283643750253e+01	6.957420529704008e+04	2.690044955953352e+01	-1.067206649574161e-14	2.715632355101614e+00	2.750920323115943e+06	4.260233659604578e+06	3.417055865154562e+06	-1.450477693666191e+03	-1.893547363373959e+05	1.392616567388254e+03	1.389145797979183e+04
4.625381920211299e+01	7.033986984143138e+04	2.711111513203505e+01	-1.031469054852790e-14	2.702098681933847e+00	2.791275213571320e+06	4.567412292121136e+06	3.717989984814207e+06	-1.466352951978050e+03	-2.075803500441893e+05	1.406274233819042e+03	1.438081501525462e+04
4.742480196672344e+01	7.110553438582268e+04	2.732985295475924e+01	-9.981898867815153e-15	2.688856470008568e+00	2.831604949910790e+06	4.903451677851450e+06	4.047810149485529e+06	-1.482244437595801e+03	-2.265042415911230e+05	1.419946362836324e+03	1.487017205071742e+04
4.859578473133390e+01	7.187119893021398e+04	2.755640503969918e+01	-9.634778089554710e-15	2.675896404264552e+00	2.871910411899681e+06	5.269495644694477e+06	4.407659438199118e+06	-1.498133397739163e+03	-2.461040843039143e+05	1.433633165824106e+03	1.535952908618022e+04
4.976676749594436e+01	7.263686347460528e+04	2.779052427664526e+01	-9.305429185257614e-15	2.663209562400493e+00	2.912192260012010e+06	5.666661915310683e+06	4.798654695054827e+06	-1.514022557597473e+03	-2.663585113531264e+05	1.447337519693687e+03	1.584888612164302e+04
5.093775026055481e+01	7.340252801899659e+04	2.803197386585165e+01	-8.982539779073665e-15	2.650787394390530e+00	2.952451290821646e+06	6.096043478798545e+06	5.221888231310352e+06	-1.529903695010572e+03	-2.872470355970620e+05	1.461049233334414e+03	1.633824315710581e+04
5.210873302516526e+01	7.416819256338789e+04	2.828052678584340e+01	-8.673621844221995e-15	2.638621703268595e+00	2.992688174434017e+06	6.558709873046638e+06	5.678428830458429e+06	-1.545789823919546e+03	-3.087500187952666e+05	1.474793132285530e+03	1.682760019256861e+04
5.327971578977572e+01	7.493385710777919e+04	2.853596529385081e+01	-8.364904890169030e-15	2.626704627090817e+00	3.032903111826016e+06	7.055708444798792e+06	6.169322539167034e+06	-1.561684050807376e+03	-3.308485415298468e+05	1.488376684711087e+03	1.731695722803140e+04
5.445069855438617e+01	7.569952165217049e+04	2.879808045656122e+01	-8.054266854912435e-15	2.615028621992563e+00	3.073097387224824e+06	7.588065253310098e+06	6.695595564401248e+06	-1.577603574785004e+03	-3.535246134847254e+05	1.501957503735309e+03	1.780631426349420e+04
