WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

2.597653153196767e+03             Total Mass
9.378922609375275e+00 2.135307446674635e-03 -6.316986384256700e-01       Center of Gravity
3.758748869713051e+04 1.086185813258229e+05 1.267245473522419e+05       Ixx, Iyy, Izz
-3.896720937915323e+00 2.667743321282810e+03 2.699802864163755e+01       Ixy, Ixz, Iyz
4.182718188838870e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	4.885742090577945e+02	1.059622700057242e+01	1.177967795656354e-03	-2.401407582612663e-01	1.732397530612395e+03	1.876546220784375e+04	1.837660145857513e+04	2.948840173634811e+00	-2.480232790496657e+02	1.156521491500838e+00	1.747341686838841e+02
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.362265408209849e-01
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.365190795113049e-01
Cone	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.938911049812224e-02
MainWing	2.333671367237758e+02	8.502465049718140e+00	3.065257087663908e-08	-3.677612171638474e+00	2.126996055356292e+04	2.867240231955877e+02	2.154520180926188e+04	-2.832984955751380e-01	7.218349294888718e-01	4.712333502826428e-01	4.758515899101577e+01
HorzTail	1.502255926450078e+01	2.462507161148643e+01	1.350561627811290e-15	-1.689992090185073e-17	1.574886067215891e+02	1.283025379611680e+01	1.699265462688178e+02	-1.799563522934744e-02	-3.054864215018235e-03	2.924563281960310e-02	1.363579855178529e+01
VertTail	1.008896387971208e+01	2.576374852309265e+01	1.350728490616223e-09	-2.703793806637881e+00	1.882659306901391e+01	3.668366699524945e+01	1.812335969105355e+01	2.164069769487723e-03	-1.350466074343305e+01	-5.217756164655814e-04	4.431203390597437e+00
Right Wheel	2.570249536910338e+01	8.805404403021514e+00	-4.738100000000001e+00	4.048000000000013e+00	1.628086278119756e+01	2.916835536620749e+01	1.666610065693667e+01	-2.934461961790578e-02	-4.601686449690739e-03	5.865098531994437e-02	4.083325978092582e+00
Left Wheel	2.570254099443328e+01	8.804952266853915e+00	4.796797845150842e+00	4.047795009392843e+00	1.627475119715320e+01	2.916862161929700e+01	1.665933428371256e+01	-2.913761971668369e-02	-4.736405584259225e-03	5.812265504920950e-02	4.083462973552761e+00
Nose Wheel	1.285122483012453e+01	3.090740573792251e+00	2.380999412608373e-02	4.048000036931231e+00	8.131169582495849e+00	1.458339719268093e+01	8.324195422909060e+00	-1.314959590322138e-02	-2.218715533102093e-03	2.791549687192120e-02	4.083643098228294e+00
Main Gear Strut L	2.570809608471618e+01	8.820220373945203e+00	3.607218552715354e+00	2.839823470463410e+00	3.541902849611917e+01	2.343293553713130e+01	1.567359024716514e+01	-1.044037495222311e+00	-1.338479003031543e+00	1.598218582409851e+01	2.224749780166723e+00
Main Gear Strut R	2.570480358140669e+01	8.820699298233112e+00	-3.483667642537898e+00	2.840393914176174e+00	3.328697322762046e+01	2.357674392430070e+01	1.339530123212927e+01	9.233278230226406e-01	-1.368526453429588e+00	-1.436444001223769e+01	2.151029588402240e+00
Nose Strut	1.285120347441940e+01	3.210684599167161e+00	-2.461954906562835e-03	2.236964517660986e+00	1.391325227799713e+00	1.381249678211188e+00	1.075075036052312e+00	-1.532079976993513e-03	2.849746320132459e-02	1.745051376166248e-02	2.962226157907462e-01
Wing Strut R	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.117085227589671e-01
Wing Strut L	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	8.108744967468384e-01
FrontHumans	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
FrontHumans	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
FrontHumanBox	3.000315383696501e+02	6.666163325800035e+00	3.438189872764717e-09	-7.608696017420591e-01	1.022130097151789e+03	7.185405362258413e+02	6.766095228860260e+02	-4.878907489384381e-01	-7.510905001348002e-02	8.077544514729700e-01	5.495687041977568e+01
RearHumans	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
RearHumans	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00
RearHumanBox	2.999985069799103e+02	9.372449841802977e+00	9.271012390320659e-07	-7.608699265552512e-01	1.021974596360007e+03	7.184698370699956e+02	6.764837957803968e+02	-5.182600989567653e-01	-7.766049899227141e-02	7.911982096707068e-01	5.495685992890883e+01
