WARNING: 2 open meshes merged
     Merged: Main Wing
     Merged: Horz Tail
...Mass Properties...
21 Num Comps
21 Total Num Meshes
16312 Total Num Tris

3.525270143430325e+05             Total Mass
1.071134949357679e+02 1.300664493562413e-07 -3.882635284774068e+00       Center of Gravity
2.837036318186080e+08 4.596758273305705e+08 7.165024471132437e+08       Ixx, Iyy, Izz
-5.871781921405172e+03 3.698024200793964e+07 5.755585265506628e+03       Ixy, Ixz, Iyz
8.839850441076839e+04             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Main Fuse	4.447472544036155e+04	1.005772505269636e+02	-2.978912782187041e-08	1.004662394387449e-01	3.002621563390302e+06	1.643613104336336e+08	1.637672127523860e+08	-8.732394363279832e+02	1.984788991306241e+06	8.158607776534282e+02	4.909993976658270e+04
Main Wing	7.838255098501378e+04	1.035249998700813e+02	-9.963343063894612e-09	-4.959193638684301e+00	1.257364607693318e+08	2.144639292250069e+07	1.467216508836712e+08	-1.287977555113576e+03	1.165870025467946e+06	1.347323679160421e+03	9.598999594014043e+03
Horz Tail	7.237979194434544e+03	2.114351921884957e+02	8.398332900237229e-15	5.966685508268103e+00	2.748415589294348e+06	2.992875094152508e+05	3.041968834732239e+06	-1.257668564908381e+02	-7.027751425268535e+03	1.236233862696693e+02	1.712847384915231e+03
Vert Tail	9.168587221445547e+03	2.052610953287600e+02	-3.505140082343112e-09	2.182018873333311e+01	6.400817370749537e+05	1.560486567309441e+06	9.418099709602364e+05	-1.325210107746245e+02	5.332773593111150e+05	1.635446525888476e+02	2.209404602981352e+03
Main Gear Placeholder	2.257500247283287e+04	1.112433626379930e+02	1.321939828703785e-17	-8.000000000000085e+00	1.118813430372354e+05	6.241707674158073e+04	1.397492679970956e+05	-3.146652070006273e+02	-5.263283459492905e+01	3.021521386411137e+02	9.836255222727807e+01
Nose Gear Placeholder	7.525005742405592e+03	2.751809496834543e+01	-4.367119794170300e-17	-7.999999999999813e+00	3.734637735024079e+04	2.855998629767181e+04	5.435885026767071e+04	-1.388966863747371e+02	-2.194366662269877e+01	1.146723608823454e+02	1.229531902840986e+02
all other CG placeholder	1.189999993100829e+05	1.053884488149404e+02	1.827706997286831e-16	-4.999999999999963e+00	5.902258126198429e+05	3.291560511086667e+05	7.369906458216666e+05	-1.957549870347718e+03	-3.270019036853308e+02	1.747415769159290e+03	9.836255222727840e+01
Inboard Main Wing Fuel Cells	1.255432613430143e+03	9.507817317896144e+01	2.526326743006263e+01	-4.857348258163346e+00	1.370354190030570e+05	1.028692768297400e+05	2.389407536641043e+05	9.798762590527082e+04	1.707140649742826e+03	2.395094230758766e+03	1.255432613430143e+03
Inboard Main Wing Fuel Cells	1.255432613430164e+03	9.507817317895997e+01	-2.526326743006296e+01	-4.857348258163356e+00	1.370334520503481e+05	1.028692546567066e+05	2.389388088844300e+05	-9.803121455327254e+04	1.707241657842843e+03	-2.352547973870815e+03	1.255432613430164e+03
Outboard Main Wing Fuel Tank	2.970636428480760e+02	1.173681374273437e+02	5.764551782403414e+01	-3.434663388927725e+00	1.472579252346540e+04	9.762392465534062e+03	2.440979912079192e+04	9.820595960768485e+03	1.707797676782613e+02	2.597639993681082e+02	2.970636428480760e+02
Outboard Main Wing Fuel Tank	2.970636428480735e+02	1.173681374273450e+02	-5.764551782403514e+01	-3.434663388927751e+00	1.472504205931574e+04	9.762398853997574e+03	2.440904226817868e+04	-9.828399771632940e+03	1.708307938043276e+02	-2.507818616981461e+02	2.970636428480735e+02
Crew Area Box	8.993147632206715e+02	2.576162082143705e+01	6.996617306663190e-15	4.782608695653026e+00	1.572139583893822e+04	1.154498620975979e+04	1.763819859978314e+04	-1.890380682029054e+01	-2.632796940962058e+00	1.897609262673273e+01	8.993147632206715e+02
Passenger Box	1.575557309774699e+04	1.048029574332004e+02	8.171715834467802e-15	2.282608695664242e+00	3.303753374370302e+05	2.391880868826791e+07	2.403589858567712e+07	-3.294752431033518e+02	-5.361525213013714e+01	2.734002648942907e+02	1.575557309774699e+04
Inside Engine Pair	8.999996567905289e+03	8.642817212994120e+01	-3.899999992519785e+01	-1.099999980093724e+01	9.196978762839263e+04	5.467249595255326e+05	5.476100459506843e+05	-1.546110083625471e+02	-2.548675262431686e+01	1.707018160727989e+02	1.399209689982521e+03
Inside Engine Pair	8.999995905999027e+03	8.642817170504090e+01	3.900000001070411e+01	-1.100000001907365e+01	9.196725924849338e+04	5.467240613288265e+05	5.476083704300539e+05	-1.590455775054642e+02	-2.651363087130577e+01	1.660064318622545e+02	1.399209587077433e+03
