WARNING: 2 open meshes merged
     Merged: MainWing
     Merged: HorzTail
...Mass Properties...
26 Num Comps
26 Total Num Meshes
59520 Total Num Tris

4.179200461819400e+02             Total Mass
1.003442428325704e+01 2.506759137266815e-03 -6.437741754150651e-01       Center of Gravity
6.871372097202200e+03 1.478374399753322e+04 1.856556455045331e+04       Ixx, Iyy, Izz
-7.846540916311837e-01 6.485539683206687e+01 4.697867326055959e+00       Ixy, Ixz, Iyz
4.182721826893976e+02             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	1.747412559007858e+02	1.059626406279524e+01	1.119573759531065e-03	-2.402198167754802e-01	6.196185723228745e+02	6.711370834533616e+03	6.572286182296793e+03	1.031482066166929e+00	-8.872874289273270e+01	4.322766943939776e-01	1.747412559007858e+02
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.362281815385049e-01
PropGeom	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	1.365196742130268e-01
Cone	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	0.000000000000000e+00	7.938865170607295e-02
MainWing	4.758487072972659e+01	8.502495053447952e+00	1.132065937907449e-07	-3.677654656693391e+00	4.337126530790996e+03	5.846419713755478e+01	4.393249361742717e+03	-5.767423714987627e-02	1.472515834669401e-01	9.626234085204659e-02	4.758487072972659e+01
HorzTail	1.363581145993078e+01	2.462506242999575e+01	-9.935307087609554e-16	-3.189856088418071e-17	1.429501162892715e+02	1.164590692016517e+01	1.542399223376665e+02	-1.633627781978692e-02	-2.772969468551739e-03	2.654660334687987e-02	1.363581145993078e+01
VertTail	4.431218718815733e+00	2.576371761191919e+01	8.128532654810420e-17	-2.703775911802044e+00	8.268778305558598e+00	1.611177844664272e+01	7.959958155618144e+00	9.501862124125148e-04	-5.931304134565773e+00	-2.288822077054741e-04	4.431218718815733e+00
Right Wheel	4.083321359177828e+00	8.805402756146885e+00	-4.738095242055398e+00	4.047999990452547e+00	2.586380082643134e+00	4.633936012116429e+00	2.647583262636059e+00	-4.707586957778493e-03	-7.304513355214863e-04	9.271182056744700e-03	4.083321359177828e+00
Left Wheel	4.083453385630948e+00	8.804972344351611e+00	4.796821372817363e+00	4.047804536841860e+00	2.585628476480003e+00	4.634122016741847e+00	2.646729069548444e+00	-4.629307717093018e-03	-7.525756538475399e-04	9.234996503750476e-03	4.083453385630948e+00
Nose Wheel	4.083633175658752e+00	3.090774547596723e+00	2.380950808483286e-02	4.048000040888004e+00	2.583748197611644e+00	4.634049336170976e+00	2.645087573663630e+00	-4.181714149107389e-03	-7.089594231185175e-04	8.858117453124023e-03	4.083633175658752e+00
